protein_A,protein_B,score,source,confidence,download_date
FTH1,NCOA4,999,STRING,0.999,2026-06-21
STAT1,STAT3,999,STRING,0.999,2026-06-21
MTOR,AKT1,999,STRING,0.999,2026-06-21
MDM2,CDKN2A,999,STRING,0.999,2026-06-21
METTL14,RBM15,999,STRING,0.999,2026-06-21
EGFR,CAV1,999,STRING,0.999,2026-06-21
EZH2,AEBP2,999,STRING,0.999,2026-06-21
MDM2,MDM4,999,STRING,0.999,2026-06-21
METTL14,WTAP,999,STRING,0.999,2026-06-21
STAT1,IRF9,999,STRING,0.999,2026-06-21
EGFR,MUC1,999,STRING,0.999,2026-06-21
TNFAIP3,TNF,999,STRING,0.999,2026-06-21
METTL14,VIRMA,999,STRING,0.999,2026-06-21
PEX12,PEX10,999,STRING,0.999,2026-06-21
STAT1,IRF1,999,STRING,0.999,2026-06-21
METTL14,ZC3H13,999,STRING,0.999,2026-06-21
METTL14,METTL3,999,STRING,0.999,2026-06-21
PEX12,PEX2,999,STRING,0.999,2026-06-21
BRPF1,KAT6B,999,STRING,0.999,2026-06-21
EGFR,SRC,999,STRING,0.999,2026-06-21
ATG3,ATG7,999,STRING,0.999,2026-06-21
BECN1,HMGB1,999,STRING,0.999,2026-06-21
ATG3,ATG5,999,STRING,0.999,2026-06-21
E2F2,RB1,999,STRING,0.999,2026-06-21
SLC7A11,SLC3A2,999,STRING,0.999,2026-06-21
FTL,FTH1,999,STRING,0.999,2026-06-21
SLC3A2,SLC7A11,999,STRING,0.999,2026-06-21
BECN1,AMBRA1,999,STRING,0.999,2026-06-21
AMBRA1,BECN1,999,STRING,0.999,2026-06-21
ATM,TP53,999,STRING,0.999,2026-06-21
EGFR,EREG,999,STRING,0.999,2026-06-21
NOD1,ATG16L1,999,STRING,0.999,2026-06-21
BECN1,BCL2,999,STRING,0.999,2026-06-21
RPLP2,RPL8,999,STRING,0.999,2026-06-21
BECN1,RB1CC1,999,STRING,0.999,2026-06-21
EGFR,CDH1,999,STRING,0.999,2026-06-21
MDM2,RB1,999,STRING,0.999,2026-06-21
MDM2,AKT1,999,STRING,0.999,2026-06-21
RRM2,RRM1,999,STRING,0.999,2026-06-21
MDM2,EP300,999,STRING,0.999,2026-06-21
MDM2,TP53,999,STRING,0.999,2026-06-21
PIAS3,STAT3,999,STRING,0.999,2026-06-21
TFRC,TF,999,STRING,0.999,2026-06-21
PGD,G6PD,999,STRING,0.999,2026-06-21
WTAP,RBM15,999,STRING,0.999,2026-06-21
WTAP,METTL14,999,STRING,0.999,2026-06-21
WTAP,METTL3,999,STRING,0.999,2026-06-21
FDFT1,SQLE,999,STRING,0.999,2026-06-21
MICU1,MCU,999,STRING,0.999,2026-06-21
G6PD,PGD,999,STRING,0.999,2026-06-21
SQSTM1,KEAP1,999,STRING,0.999,2026-06-21
KEAP1,SQSTM1,999,STRING,0.999,2026-06-21
KEAP1,NFE2L2,999,STRING,0.999,2026-06-21
TP53,PTEN,999,STRING,0.999,2026-06-21
PEX2,PEX10,999,STRING,0.999,2026-06-21
PEX2,PEX12,999,STRING,0.999,2026-06-21
TP53,CDKN2A,999,STRING,0.999,2026-06-21
CAVIN1,CAV1,999,STRING,0.999,2026-06-21
WTAP,VIRMA,999,STRING,0.999,2026-06-21
MUC1,EGFR,999,STRING,0.999,2026-06-21
WTAP,ZC3H13,999,STRING,0.999,2026-06-21
ATG16L1,RB1CC1,999,STRING,0.999,2026-06-21
FXN,ISCU,999,STRING,0.999,2026-06-21
SQSTM1,GABARAPL1,999,STRING,0.999,2026-06-21
FTH1,FTL,999,STRING,0.999,2026-06-21
FXN,NFS1,999,STRING,0.999,2026-06-21
HSPA5,ATF6,999,STRING,0.999,2026-06-21
CDKN2A,TP53,999,STRING,0.999,2026-06-21
ATG16L1,ATG3,999,STRING,0.999,2026-06-21
ATG16L1,ATG5,999,STRING,0.999,2026-06-21
ATG16L1,NOD1,999,STRING,0.999,2026-06-21
HSPA5,EIF2AK3,999,STRING,0.999,2026-06-21
VCP,AMFR,999,STRING,0.999,2026-06-21
HSPA5,ERN1,999,STRING,0.999,2026-06-21
CDKN2A,MDM2,999,STRING,0.999,2026-06-21
VCP,FAF1,999,STRING,0.999,2026-06-21
IREB2,FBXL5,999,STRING,0.999,2026-06-21
ATG3,ATG16L1,999,STRING,0.999,2026-06-21
ATG3,GABARAPL1,999,STRING,0.999,2026-06-21
BRD7,ACTL6A,999,STRING,0.999,2026-06-21
TGFBR1,SMAD7,999,STRING,0.999,2026-06-21
AKT1,MTOR,999,STRING,0.999,2026-06-21
RBM15,ZC3H13,999,STRING,0.999,2026-06-21
EREG,EGFR,999,STRING,0.999,2026-06-21
ASL,ASS1,999,STRING,0.999,2026-06-21
SRC,STAT3,999,STRING,0.999,2026-06-21
EGLN2,HIF1A,999,STRING,0.999,2026-06-21
EIF2AK3,HSPA5,999,STRING,0.999,2026-06-21
IRF1,STAT1,999,STRING,0.999,2026-06-21
APOC1,APOE,999,STRING,0.999,2026-06-21
TGFBR1,SMURF2,999,STRING,0.999,2026-06-21
RBM15,VIRMA,999,STRING,0.999,2026-06-21
SRC,EGFR,999,STRING,0.999,2026-06-21
RBM15,WTAP,999,STRING,0.999,2026-06-21
METTL3,WTAP,999,STRING,0.999,2026-06-21
METTL3,RBM15,999,STRING,0.999,2026-06-21
METTL3,ZC3H13,999,STRING,0.999,2026-06-21
