compound,CanonicalSMILES,MW,LogP,HBD,HBA,TPSA,RotBonds,BBB_score,BBB_pass,BBB_reasons
VC,C([C@@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O,180.156,-3.2213999999999987,5,6,110.38000000000001,2,2,Poor,"logP=-3.22 outside [1,4]; HBD=5>3; TPSA=110.4>90"
Danshensu,C1=CC(=C(C=C1C[C@H](C(=O)O)O)O)O,198.174,0.08579999999999954,4,4,97.99000000000001,3,2,Poor,"logP=0.09 outside [1,4]; HBD=4>3; TPSA=98.0>90"
Salidroside,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,300.307,-1.2488000000000006,5,7,119.61000000000001,5,2,Poor,"logP=-1.25 outside [1,4]; HBD=5>3; TPSA=119.6>90"
DFO,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(O)=O,656.8000000000003,0.42610000000000686,7,11,260.21,23,0,Poor,"MW=656.8>400; logP=0.43 outside [1,4]; HBD=7>3; HBA=11>8; TPSA=260.2>90"
Erastin,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl,547.0550000000004,4.722000000000004,0,6,76.90000000000002,8,3,Moderate,"MW=547.1>400; logP=4.72 outside [1,4]"
ML162,COC1=C(C=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl)Cl,477.4130000000001,5.082100000000004,1,4,58.64,9,3,Moderate,"MW=477.4>400; logP=5.08 outside [1,4]"
Quercetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.238,1.9880000000000009,5,7,131.36,1,3,Moderate,HBD=5>3; TPSA=131.4>90
Luteolin,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.239,2.2824000000000018,4,6,111.13000000000001,1,3,Moderate,HBD=4>3; TPSA=111.1>90
Kaempferol,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,286.239,2.282400000000001,4,6,111.13000000000001,1,3,Moderate,HBD=4>3; TPSA=111.1>90
Scutellarein,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O)O,286.239,2.282400000000001,4,6,111.13000000000001,1,3,Moderate,HBD=4>3; TPSA=111.1>90
Fisetin,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,286.239,2.282400000000001,4,6,111.13000000000001,1,3,Moderate,HBD=4>3; TPSA=111.1>90
Phloretin,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O,274.272,2.3245000000000013,4,5,97.99000000000001,4,3,Moderate,HBD=4>3; TPSA=98.0>90
Catechin,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.271,1.5461000000000014,5,6,110.38000000000001,1,3,Moderate,HBD=5>3; TPSA=110.4>90
Epicatechin,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,290.271,1.5461000000000014,5,6,110.38000000000001,1,3,Moderate,HBD=5>3; TPSA=110.4>90
Schisandrin B,CC1CC2=CC3=C(C(=C2C4=C(C(=C(C=C4CC1C)OC)OC)OC)OC)OCO3,400.4710000000002,4.487500000000003,0,6,55.38000000000001,4,3,Moderate,"MW=400.5>400; logP=4.49 outside [1,4]"
Fer-1,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N,262.35299999999995,3.190100000000001,2,4,64.35,4,5,Likely,
Lip-1,ClC1=CC(CNC(C23CCNCC2)=NC4=C(N3)C=CC=C4)=CC=C1,340.858,3.7075000000000022,3,4,48.45,2,5,Likely,
Cinnamaldehyde,C1=CC=C(C=C1)/C=C/C=O,132.16199999999995,1.8987,0,1,17.07,2,5,Likely,
Cinnamic_acid,C1=CC=C(C=C1)/C=C/C(=O)O,148.16099999999997,1.7844,1,1,37.3,2,5,Likely,
Naringenin,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,272.256,2.5099000000000022,3,5,86.99000000000001,1,5,Likely,
Eucalyptol,CC1(C2CCC(O1)(CC2)C)C,154.25300000000001,2.7441000000000013,0,1,9.23,0,5,Likely,
Borneol,CC1(C2CCC1(C(C2)O)C)C,154.253,2.1935000000000002,1,1,20.23,0,5,Likely,
Wogonin,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,284.267,2.879800000000003,2,5,79.9,2,5,Likely,
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,228.24699999999999,2.973800000000002,3,3,60.69,2,5,Likely,
Ferulic acid,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,194.18599999999998,1.4986,2,3,66.76,3,5,Likely,
Pinocembrin,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3,256.257,2.8043000000000022,2,4,66.76,1,5,Likely,
Chrysin,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,254.24099999999996,2.8712000000000018,2,4,70.67,1,5,Likely,
Daidzein,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,254.24099999999999,2.8712000000000018,2,4,70.67,1,5,Likely,
Formononetin,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3)O,268.268,3.174200000000002,1,4,59.67,2,5,Likely,
Oroxylin A,COC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,284.267,2.8798000000000017,2,5,79.9,2,5,Likely,
Tangeretin,COC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC,372.3730000000001,3.503000000000001,0,7,76.36000000000001,6,5,Likely,
Tetramethylpyrazine,CC1=C(N=C(C(=N1)C)C)C,136.198,1.71028,0,2,25.78,0,5,Likely,
Dihydroartemisinin,C[C@@H]1CC[C@H]2[C@H]([C@H](O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)O)C,284.3519999999999,2.1867,1,5,57.150000000000006,0,5,Likely,
Artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,282.33599999999996,2.3949000000000007,0,5,53.99000000000001,0,5,Likely,
Plumbagin,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,188.18200000000002,1.7175,1,3,54.370000000000005,0,5,Likely,
Physcion,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,284.267,2.19022,2,5,83.83,1,5,Likely,
Chrysophanol,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=CC=C3O,254.24099999999999,2.18162,2,4,74.6,0,5,Likely,
Sulforaphane,CS(=O)CCCCN=C=S,177.294,1.2479,0,3,29.43,5,5,Likely,
Edaravone,CC1=NN(C(=O)C1)C2=CC=CC=C2,174.203,1.7992,0,2,32.67,1,5,Likely,
Idebenone,CC1=C(C(=O)C(=C(C1=O)OC)OC)CCCCCCCCCCO,338.44400000000013,3.462300000000003,1,5,72.83000000000001,12,5,Likely,
Alpha-lipoic acid,C1CSSC1CCCCC(=O)O,206.33199999999994,2.785100000000001,1,3,37.3,5,5,Likely,
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,232.283,1.8551,2,2,54.120000000000005,4,5,Likely,
Huperzine A,C/C=C/1\[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,242.322,1.9975,2,2,58.88,0,5,Likely,
BCP,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,204.35699999999997,4.7252000000000045,0,0,0.0,0,4,Likely,"logP=4.73 outside [1,4]"
RSL3,COC(=O)C1CC2=C(C(N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24,440.88300000000015,3.2090000000000014,1,5,88.69999999999999,4,4,Likely,MW=440.9>400
Baicalein,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,270.23999999999995,2.576800000000001,3,5,90.9,1,4,Likely,TPSA=90.9>90
Hesperetin,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,302.2819999999999,2.5185000000000026,3,6,96.22000000000001,2,4,Likely,TPSA=96.2>90
Curcumin,COC1=C(C=CC(=C1)/C=C/C(=O)CC(=O)/C=C/C2=CC(=C(C=C2)O)OC)O,368.38500000000005,3.3699000000000026,2,6,93.06000000000002,8,4,Likely,TPSA=93.1>90
Apigenin,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,270.23999999999995,2.5768000000000018,3,5,90.9,1,4,Likely,TPSA=90.9>90
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,270.23999999999995,2.576800000000001,3,5,90.9,1,4,Likely,TPSA=90.9>90
Nobiletin,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC,402.39900000000017,3.5116000000000014,0,8,85.59000000000002,7,4,Likely,MW=402.4>400
Galangin,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,270.23999999999995,2.5768000000000018,3,5,90.9,1,4,Likely,TPSA=90.9>90
Tanshinone IIA,CC1=COC2=C1C(=O)C(=O)C3=C2C=CC4=C3CCCC4(C)C,294.35,4.247920000000003,0,3,47.28,0,4,Likely,"logP=4.25 outside [1,4]"
Honokiol,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,266.34,4.221800000000002,2,2,40.46,5,4,Likely,"logP=4.22 outside [1,4]"
Magnolol,C=CCC1=CC(=C(C=C1)O)C2=C(C=CC(=C2)CC=C)O,266.3399999999999,4.2218000000000035,2,2,40.46,5,4,Likely,"logP=4.22 outside [1,4]"
Schisandrin,C[C@H]1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3C[C@]1(C)O)OC)OC)OC)OC)OC)OC,432.5130000000002,3.890900000000003,1,7,75.61000000000001,6,4,Likely,MW=432.5>400
Shikonin,CC(=CC[C@H](C1=CC(=O)C2=C(C=CC(=C2C1=O)O)O)O)C,288.299,2.120400000000001,3,5,94.83000000000001,3,4,Likely,TPSA=94.8>90
Emodin,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,270.23999999999995,1.8872200000000001,3,5,94.83,0,4,Likely,TPSA=94.8>90
Aloe emodin,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,270.23999999999995,1.3654999999999997,3,5,94.83,1,4,Likely,TPSA=94.8>90
Tyrosol,C1=CC(=CC=C1CCO)O,138.166,0.9269999999999994,2,2,40.46,2,4,Likely,"logP=0.93 outside [1,4]"
Hydroxytyrosol,C1=CC(=C(C=C1CCO)O)O,154.165,0.6325999999999996,3,3,60.69,2,4,Likely,"logP=0.63 outside [1,4]"
Dimethyl fumarate,COC(=O)/C=C/C(=O)OC,144.12599999999998,-0.11140000000000017,0,4,52.60000000000001,2,4,Likely,"logP=-0.11 outside [1,4]"
N-acetylcysteine,CC(=O)N[C@@H](CS)C(=O)O,163.198,-0.4945,3,3,66.4,3,4,Likely,"logP=-0.49 outside [1,4]"
