compound,cid,source,note,SMILES,ConnectivitySMILES,MolecularFormula,MolecularWeight,XLogP,HBondDonorCount,HBondAcceptorCount,TPSA,RotatableBondCount,source_herb,mechanism,bbb_tier,CanonicalSMILES
BCP,5281515,Cannabis sativa / synthetic,ferroptosis modulator (CB2 agonist),C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,C15H24,204.35,4.4,0,0,0.0,0,Cannabis sativa / synthetic,ferroptosis modulator (CB2 agonist),Likely,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
VC,54670067,Camellia sinensis / dietary,antioxidant,C([C@@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O,C([C@@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O,C6H8O6,176.12,-1.6,4,6,107.0,2,Camellia sinensis / dietary,antioxidant,Poor,C([C@@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O
Fer-1,4063092,Synthetic,ferroptosis inhibitor,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N,C30H29N8O11P,708.6,4.1,2,14,252.0,11,Synthetic,ferroptosis inhibitor,Likely,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N
DFO,2973,Synthetic,iron chelator,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(O)=O,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(O)=O,C25H48N6O8,560.7,-2.1,6,9,206.0,23,Synthetic,iron chelator,Poor,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(O)=O
Lip-1,42608917,Synthetic,ferroptosis inhibitor,ClC1=CC(CNC(C23CCNCC2)=NC4=C(N3)C=CC=C4)=CC=C1,ClC1=CC(CNC(C23CCNCC2)=NC4=C(N3)C=CC=C4)=CC=C1,C13H25NO4S,291.41,-1.3,1,4,79.3,4,Synthetic,ferroptosis inhibitor,Likely,ClC1=CC(CNC(C23CCNCC2)=NC4=C(N3)C=CC=C4)=CC=C1
Erastin,11294402,Synthetic,ferroptosis inducer (system xc-),CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl,C27H16N6OS,472.5,5.2,0,6,102.0,3,Synthetic,ferroptosis inducer (system xc-),Moderate,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl
RSL3,25195377,Synthetic,GPX4 inhibitor,COC(=O)C1CC2=C(C(N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24,COC(=O)C1CC2=C(C(N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24,C27H53NO9P+,566.7,4.8,2,9,129.0,27,Synthetic,GPX4 inhibitor,Likely,COC(=O)C1CC2=C(C(N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24
ML162,609375,Synthetic,GPX4 covalent inhibitor,COC1=C(C=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl)Cl,COC1=C(C=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl)Cl,C26H20,332.4,7.4,0,0,0.0,4,Synthetic,GPX4 covalent inhibitor,Moderate,COC1=C(C=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl)Cl
Cinnamaldehyde,637511,Cinnamomum cassia (Guizhi),"anti-inflammatory, neuroprotective",C1=CC=C(C=C1)/C=C/C=O,C1=CC=C(C=C1)/C=C/C=O,C9H8O,132.16,1.9,0,1,17.1,2,Cinnamomum cassia (Guizhi),"anti-inflammatory, neuroprotective",Likely,C1=CC=C(C=C1)/C=C/C=O
Cinnamic_acid,444539,Cinnamomum cassia (Guizhi),phenolic acid,C1=CC=C(C=C1)/C=C/C(=O)O,C1=CC=C(C=C1)/C=C/C(=O)O,C9H8O2,148.16,2.1,1,2,37.3,2,Cinnamomum cassia (Guizhi),phenolic acid,Likely,C1=CC=C(C=C1)/C=C/C(=O)O
