tf,target,source,confidence,download_date
ATF3,IFNG,TRRUST_literature,0.8,2026-06-21
BRD7,E2F3,TRRUST_literature,0.8,2026-06-21
E2F1,IL1B,TRRUST_literature,0.8,2026-06-21
E2F1,NOX4,TRRUST_literature,0.8,2026-06-21
EGR1,ATF3,TRRUST_literature,0.8,2026-06-21
EGR1,CXCL8,TRRUST_literature,0.8,2026-06-21
EGR1,HIF1A,TRRUST_literature,0.8,2026-06-21
EGR1,IFNG,TRRUST_literature,0.8,2026-06-21
EGR1,IL6,TRRUST_literature,0.8,2026-06-21
EGR1,PTGS2,TRRUST_literature,0.8,2026-06-21
EGR1,SOD1,TRRUST_literature,0.8,2026-06-21
HIF1A,E2F3,TRRUST_literature,0.8,2026-06-21
HIF1A,EDN1,TRRUST_literature,0.8,2026-06-21
HIF1A,LOX,TRRUST_literature,0.8,2026-06-21
HIF1A,SOCS1,TRRUST_literature,0.8,2026-06-21
HIF1A,TFRC,TRRUST_literature,0.8,2026-06-21
IRF1,CXCL10,TRRUST_literature,0.8,2026-06-21
IRF1,E2F1,TRRUST_literature,0.8,2026-06-21
IRF1,IFNG,TRRUST_literature,0.8,2026-06-21
IRF1,SOCS1,TRRUST_literature,0.8,2026-06-21
IRF1,SOCS2,TRRUST_literature,0.8,2026-06-21
IRF7,CXCL10,TRRUST_literature,0.8,2026-06-21
KLF6,ATF3,TRRUST_literature,0.8,2026-06-21
KLF6,TXNIP,TRRUST_literature,0.8,2026-06-21
NR2F2,E2F1,TRRUST_literature,0.8,2026-06-21
SP1,ABCC1,TRRUST_literature,0.8,2026-06-21
SP1,BRD7,TRRUST_literature,0.8,2026-06-21
SP1,CTSB,TRRUST_literature,0.8,2026-06-21
SP1,E2F1,TRRUST_literature,0.8,2026-06-21
SP1,EGR1,TRRUST_literature,0.8,2026-06-21
SP1,IL6,TRRUST_literature,0.8,2026-06-21
SP1,MPO,TRRUST_literature,0.8,2026-06-21
SP1,PPP2R2B,TRRUST_literature,0.8,2026-06-21
SP1,PTGS2,TRRUST_literature,0.8,2026-06-21
SP1,SLC39A8,TRRUST_literature,0.8,2026-06-21
SP1,SOCS1,TRRUST_literature,0.8,2026-06-21
SP1,SOD1,TRRUST_literature,0.8,2026-06-21
STAT1,CTSB,TRRUST_literature,0.8,2026-06-21
STAT1,CXCL10,TRRUST_literature,0.8,2026-06-21
STAT1,EDN1,TRRUST_literature,0.8,2026-06-21
STAT1,HMOX1,TRRUST_literature,0.8,2026-06-21
STAT1,IFNG,TRRUST_literature,0.8,2026-06-21
STAT1,IL1B,TRRUST_literature,0.8,2026-06-21
STAT1,IL6,TRRUST_literature,0.8,2026-06-21
STAT1,IRF1,TRRUST_literature,0.8,2026-06-21
STAT1,IRF7,TRRUST_literature,0.8,2026-06-21
STAT1,LCN2,TRRUST_literature,0.8,2026-06-21
STAT1,NOX4,TRRUST_literature,0.8,2026-06-21
STAT1,PTGS2,TRRUST_literature,0.8,2026-06-21
TNFAIP3,IRF7,TRRUST_literature,0.8,2026-06-21
ZEB1,BCL6,TRRUST_literature,0.8,2026-06-21
