compound,max_target_score,n_targets_above_threshold,top5_mean_score,bbb_score,bbb_pass,max_target_score_norm,n_targets_norm,top5_mean_norm,bbb_score_norm,activity_score,rank
Resveratrol,0.9871565699577332,110,0.9861584901809692,5.0,Likely,0.988555594833186,0.8148148148087793,0.9884522655862732,0.9999999998,0.9468112282603782,1
Melatonin,0.9842159152030945,108,0.9824696779251099,5.0,Likely,0.9827241782889923,0.7999999999940741,0.981461704122611,0.9999999998,0.9393188884003186,2
Ferulic acid,0.9863344430923462,104,0.9854080080986023,5.0,Likely,0.9869252898146587,0.7703703703646639,0.9870300486881836,0.9999999998,0.9347739561683424,3
Daidzein,0.9655048251152039,114,0.9560701251029968,5.0,Likely,0.9456194620259537,0.8444444444381893,0.9314326747723,0.9999999998,0.9249360914817061,4
Curcumin,0.9929277300834656,109,0.9922520518302917,4.0,Likely,0.9999999980169667,0.8074074074014267,0.999999998104929,0.79999999984,0.9218518506585271,5
Cinnamic_acid,0.977073073387146,103,0.9752984046936035,5.0,Likely,0.9685596845236579,0.7629629629573115,0.9678716315408659,0.9999999998,0.9217045381778246,6
Erastin,0.9777852296829224,135,0.972338855266571,3.0,Moderate,0.9699719142315797,0.9999999999925927,0.9622630749813517,0.59999999988,0.920055938706539,7
Genistein,0.9744654893875122,120,0.9670099020004272,4.0,Likely,0.9633887584052985,0.8888888888823046,0.9521643297050669,0.79999999984,0.9174493700646973,8
Cinnamaldehyde,0.9722855091094971,103,0.9698222875595093,5.0,Likely,0.9590657847412938,0.7629629629573115,0.95749400027289,0.9999999998,0.9157872654370033,9
Galangin,0.9695111513137817,120,0.9608532190322876,4.0,Likely,0.9535641406180159,0.8888888888823046,0.9404969777999385,0.79999999984,0.9110939158628663,10
Fer-1,0.9602910280227661,108,0.9571754336357117,5.0,Likely,0.9352803283432423,0.7999999999940741,0.9335273130185213,0.9999999998,0.9107299431432837,11
Quercetin,0.9832100868225098,123,0.9788409471511841,3.0,Moderate,0.9807295870334534,0.9111111111043622,0.9745850013384243,0.59999999988,0.9046793835544052,12
