compound,n_active_targets,active_targets,top_pathway,pathway_count,top_pathway_n_genes,mechanism_categories
BCP,63,ABCC1; ALOX15; ALOX5; ATF3; ATM; BLM; CDK2; CDK4; CDKN1B; CXCL8; EGR1; EIF2AK3; EP300; FBXL5; FN1; FOS; FTH1; FTL; GPX4; HDAC1; HDAC2; HDAC3; HIF1A; HMOX1; HSP90AA1; HSPA5; HSPD1; ICAM1; IFNG; IL10; IL1B; IL6; JAK2; JUN; KEAP1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP2; MMP9; MPO; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PTGS2; RB1; RELA; RGS4; SAT1; SIRT1; SLC40A1; SLC7A11; SNCA; SOD1; TFRC; TLR4; TNF; TP53; TXNIP,Immune System R-HSA-168256,195,18.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
VC,80,ABCC1; ALOX15; ALOX5; ATF2; ATF3; ATM; BECN1; BLM; CDK2; CDK4; CDKN1B; CREB1; CXCL8; DYRK1A; E2F1; EGR1; EIF2AK3; EP300; FBXL5; FN1; FOS; FOXO3; FOXO4; FTH1; FTL; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP2; MMP9; MPO; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PNPLA2; PRKAA1; PRKAA2; PTEN; PTGS2; RB1; RELA; RGS4; SAT1; SIRT1; SLC40A1; SLC7A11; SNCA; SOD1; STAT3; TFRC; TLR4; TNF; TP53; TXNIP,Immune System R-HSA-168256,199,18.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
Fer-1,108,ABCC1; ACSL3; ALOX12; ALOX15; ALOX5; ATF2; ATF3; ATG3; ATM; BECN1; BLM; BRCA1; CCL2; CCND1; CDK2; CDK4; CDKN1B; CHEK2; CREB1; CREBBP; CXCL10; CXCL8; DPP4; DUOX1; DYRK1A; E2F1; EDN1; EGR1; EIF2AK3; EP300; ERN1; FBXL5; FN1; FOS; FOXO1; FOXO3; FOXO4; FTH1; FTL; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMGB1; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP10; MMP13; MMP2; MMP3; MMP9; MPO; MTOR; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PNPLA2; PPARGC1A; PRKAA1; PRKAA2; PTEN; PTGS2; RB1; RELA; RGS4; RPS6KB1; SAT1; SERPINE1; SESN2; SIRT1; SIRT6; SLC40A1; SLC7A11; SNCA; SOD1; SP1; STAT3; TFRC; TGFB1; TLR4; TNF; TP53; TXNIP; VCAM1; YAP1,Immune System R-HSA-168256,206,20.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
DFO,111,ABCC1; ACSL3; ALOX12; ALOX15; ALOX5; ATF2; ATF3; ATG3; ATM; BECN1; BLM; BRCA1; CCL2; CCND1; CDK2; CDK4; CDK6; CDKN1B; CHEK2; CREB1; CREBBP; CXCL10; CXCL8; DPP4; DUOX1; DYRK1A; E2F1; EDN1; EGR1; EIF2AK3; EP300; ERN1; FBXL5; FN1; FOS; FOXO1; FOXO3; FOXO4; FTH1; FTL; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMGB1; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP10; MMP13; MMP2; MMP3; MMP9; MPO; MTOR; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PNPLA2; PPARGC1A; PRKAA1; PRKAA2; PTEN; PTGS2; RB1; RELA; RGS4; RPS6KB1; SAT1; SERPINE1; SESN2; SIRT1; SIRT6; SLC40A1; SLC7A11; SNCA; SOD1; SP1; STAT3; TERT; TFRC; TGFB1; TLR4; TNF; TP53; TXNIP; VCAM1; XRCC1; YAP1,Immune System R-HSA-168256,206,20.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
Lip-1,19,CDKN1B; FN1; FTH1; FTL; GPX4; HIF1A; HMOX1; IL1B; KEAP1; LPCAT3; MAPK1; MAPK3; NR1D1; PTGS2; SAT1; SOD1; TFRC; TNF; TP53,Immune System R-HSA-168256,170,7.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
Erastin,135,ABCC1; ACSL3; ACVR1B; AKT1; ALOX12; ALOX15; ALOX5; ATF2; ATF3; ATG3; ATM; ATR; BECN1; BLM; BRCA1; CCL2; CCNB1; CCND1; CD38; CDK2; CDK4; CDK6; CDKN1B; CHEK2; CREB1; CREBBP; CXCL10; CXCL8; DPP4; DUOX1; DYRK1A; E2F1; EBF3; EDN1; EGR1; EIF2A; EIF2AK3; EP300; ERN1; FBXL5; FN1; FOS; FOXO1; FOXO3; FOXO4; FTH1; FTL; GADD45A; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMGB1; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IGFBP3; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LOX; LPCAT3; MAP1LC3A; MAPK1; MAPK14; MAPK3; MMP1; MMP10; MMP12; MMP13; MMP2; MMP3; MMP9; MPO; MTOR; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; NUAK2; PARP1; PNPLA2; PPARGC1A; PRKAA1; PRKAA2; PRKDC; PTEN; PTGS2; RB1; RELA; RGS4; RPS6KB1; SAT1; SERPINE1; SESN2; SETD7; SIRT1; SIRT6; SLC40A1; SLC7A11; SNCA; SOCS1; SOD1; SP1; STAT1; STAT3; TERT; TFAM; TFRC; TGFB1; TLR4; TNF; TNFRSF1A; TP53; TXNIP; VCAM1; VDAC2; VDAC3; WNT5A; WRN; XRCC1; YAP1,Immune System R-HSA-168256,210,22.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
RSL3,44,ALOX15; ATM; BLM; CDK2; CDKN1B; CXCL8; EGR1; FN1; FTH1; FTL; GPX4; HIF1A; HMOX1; HSP90AA1; HSPA5; HSPD1; IFNG; IL10; IL1B; IL6; JAK2; KEAP1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP2; MMP9; MPO; NFE2L2; NLRP3; NOX4; NR1D1; PARP1; PTGS2; RB1; RGS4; SAT1; SLC7A11; SOD1; TFRC; TLR4; TNF; TP53,Immune System R-HSA-168256,195,16.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
ML162,110,ABCC1; ACSL3; ALOX12; ALOX15; ALOX5; ATF2; ATF3; ATG3; ATM; BECN1; BLM; BRCA1; CCL2; CCND1; CDK2; CDK4; CDK6; CDKN1B; CHEK2; CREB1; CREBBP; CXCL10; CXCL8; DPP4; DUOX1; DYRK1A; E2F1; EDN1; EGR1; EIF2AK3; EP300; ERN1; FBXL5; FN1; FOS; FOXO1; FOXO3; FOXO4; FTH1; FTL; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMGB1; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP10; MMP13; MMP2; MMP3; MMP9; MPO; MTOR; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PNPLA2; PPARGC1A; PRKAA1; PRKAA2; PTEN; PTGS2; RB1; RELA; RGS4; RPS6KB1; SAT1; SERPINE1; SESN2; SIRT1; SIRT6; SLC40A1; SLC7A11; SNCA; SOD1; SP1; STAT3; TERT; TFRC; TGFB1; TLR4; TNF; TP53; TXNIP; VCAM1; YAP1,Immune System R-HSA-168256,206,20.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
Cinnamaldehyde,103,ABCC1; ALOX12; ALOX15; ALOX5; ATF2; ATF3; ATM; BECN1; BLM; BRCA1; CCL2; CCND1; CDK2; CDK4; CDKN1B; CHEK2; CREB1; CREBBP; CXCL10; CXCL8; DPP4; DUOX1; DYRK1A; EDN1; EGR1; EIF2AK3; EP300; ERN1; FBXL5; FN1; FOS; FOXO1; FOXO3; FOXO4; FTH1; FTL; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP10; MMP13; MMP2; MMP3; MMP9; MPO; MTOR; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PNPLA2; PPARGC1A; PRKAA1; PRKAA2; PTEN; PTGS2; RB1; RELA; RGS4; RPS6KB1; SAT1; SERPINE1; SESN2; SIRT1; SIRT6; SLC40A1; SLC7A11; SNCA; SOD1; SP1; STAT3; TFRC; TGFB1; TLR4; TNF; TP53; TXNIP; VCAM1,Immune System R-HSA-168256,197,19.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
Cinnamic_acid,103,ABCC1; ALOX12; ALOX15; ALOX5; ATF2; ATF3; ATM; BECN1; BLM; BRCA1; CCL2; CCND1; CDK2; CDK4; CDKN1B; CHEK2; CREB1; CREBBP; CXCL10; CXCL8; DPP4; DUOX1; DYRK1A; EDN1; EGR1; EIF2AK3; EP300; ERN1; FBXL5; FN1; FOS; FOXO1; FOXO3; FOXO4; FTH1; FTL; GPX4; GSS; HDAC1; HDAC2; HDAC3; HIF1A; HMOX1; HSP90AA1; HSPA5; HSPB1; HSPD1; ICAM1; IFNG; IL10; IL18; IL1B; IL6; JAK2; JUN; KEAP1; LMNB1; LPCAT3; MAPK1; MAPK14; MAPK3; MMP10; MMP13; MMP2; MMP3; MMP9; MPO; MTOR; NBN; NFE2L2; NFKB1; NLRP3; NOX4; NR1D1; PARP1; PNPLA2; PPARGC1A; PRKAA1; PRKAA2; PTEN; PTGS2; RB1; RELA; RGS4; RPS6KB1; SAT1; SERPINE1; SESN2; SIRT1; SIRT6; SLC40A1; SLC7A11; SNCA; SOD1; SP1; STAT3; TFRC; TGFB1; TLR4; TNF; TP53; TXNIP; VCAM1,Immune System R-HSA-168256,197,19.0,GSH/GPX4 axis; HIF-1 hypoxia response; Nrf2/ARE antioxidant; ROS scavenging; anti-inflammatory; iron metabolism; lipid peroxidation; p53/CDKN1A stress
