compound,activity_score,hub_target_score,mean_target_coverage,n_active_targets,n_mechanism_categories,bbb_pass,treatment_score,potential_level,rank
Resveratrol,0.9468112282603782,0.9862030744552612,0.415240615606308,110,8,Likely,0.9409106371231308,high,1
Melatonin,0.9393188884003186,0.9823581576347351,0.4017464220523834,108,8,Likely,0.935495205774916,high,2
Curcumin,0.9218518506585271,0.9922218918800354,0.4187667965888977,109,8,Likely,0.9339075455948262,high,3
Ferulic acid,0.9347739561683424,0.9854617118835449,0.37896016240119934,104,8,Likely,0.9311072513958086,high,4
Genistein,0.9174493700646973,0.9652262926101685,0.42207595705986023,120,8,Likely,0.9274639316036567,high,5
Daidzein,0.9249360914817061,0.9546628594398499,0.3922068476676941,114,8,Likely,0.9234912310567212,high,6
Galangin,0.9110939158628663,0.9569927453994751,0.41324731707572937,120,8,Likely,0.9222685171932576,high,7
Cinnamic_acid,0.9217045381778246,0.9757628440856934,0.3567352294921875,103,8,Likely,0.9212594416032054,high,8
Fer-1,0.9107299431432837,0.9571161270141602,0.37551501393318176,108,8,Likely,0.9165059575929585,high,9
Cinnamaldehyde,0.9157872654370033,0.9703029990196228,0.3439388871192932,103,8,Likely,0.9161769757747698,high,10
Apigenin,0.8970898819750769,0.9505612254142761,0.3906839191913605,116,8,Likely,0.9126962916528363,high,11
Chrysin,0.8971190247903037,0.9331439733505249,0.3583275079727173,109,8,Likely,0.9043695795426188,high,12
N-acetylcysteine,0.8775016234254771,0.9612817764282227,0.35177117586135864,104,8,Likely,0.9021475998637652,high,13
Tyrosol,0.8602642060565832,0.9471695423126221,0.3354887366294861,103,8,Likely,0.8908496910767515,high,14
Sulforaphane,0.8638733441510399,0.9320595860481262,0.30835333466529846,98,8,Likely,0.8850205878622839,high,15
Baicalein,0.8488998034991826,0.9238036274909973,0.3443247675895691,104,8,Likely,0.8835243718613487,high,16
Formononetin,0.8528273293373371,0.9177078604698181,0.3241712152957916,96,8,Likely,0.8806568196564003,high,17
Alpha-lipoic acid,0.8526762968213419,0.9219914078712463,0.30488988757133484,98,8,Likely,0.8785684685974192,high,18
Hydroxytyrosol,0.8353284492246833,0.9316260814666748,0.3124687075614929,99,8,Likely,0.8755604796561981,high,19
Pinocembrin,0.8426615603139129,0.9287593960762024,0.2921624183654785,87,8,Likely,0.8745077880799318,high,20
Naringenin,0.8379114429656639,0.9266706109046936,0.29025018215179443,85,8,Likely,0.8721406545416902,high,21
Shikonin,0.815809021152496,0.9200367331504822,0.30823272466659546,91,8,Likely,0.8657754127334594,high,22
Edaravone,0.8292003871527285,0.9023920893669128,0.2940162420272827,98,8,Likely,0.8648009896809299,high,23
Tanshinone IIA,0.8166051495897989,0.8934871554374695,0.33185669779777527,106,8,Likely,0.8642877381135898,high,24
Plumbagin,0.8187343434353982,0.9044060111045837,0.28452110290527344,87,8,Likely,0.860116387859097,high,25
Dimethyl fumarate,0.7972845871198209,0.9408413171768188,0.28341153264045715,73,8,Likely,0.8597295988233696,high,26
Hesperetin,0.8012409001482852,0.9244292974472046,0.2809649109840393,83,8,Likely,0.8574649111889466,high,27
Tetramethylpyrazine,0.8045137137578787,0.9156745672225952,0.28356313705444336,76,8,Likely,0.8572491838179431,high,28
Oroxylin A,0.7844118238006957,0.8713623285293579,0.28295060992240906,85,8,Likely,0.8412591955244765,high,29
Idebenone,0.7792715207220041,0.8806438446044922,0.28009289503097534,82,8,Likely,0.8408877354282461,high,30
Erastin,0.920055938706539,0.9723441004753113,0.48541924357414246,135,8,Moderate,0.8393012851784724,high,31
Quercetin,0.9046793835544052,0.9751543402671814,0.4630701243877411,123,8,Moderate,0.8311291709556392,high,32
Fisetin,0.8990566098071366,0.9718255996704102,0.45473331212997437,122,8,Moderate,0.8272449301860759,high,33
Kaempferol,0.8965415090888409,0.9706032872200012,0.4478476941585541,121,8,Moderate,0.8250873397488776,high,34
Luteolin,0.8844978092145747,0.9610305428504944,0.4156661033630371,120,8,Moderate,0.8141302572996556,high,35
Huperzine A,0.7315024592195417,0.82750403881073,0.2669457495212555,84,8,Likely,0.8115685309171738,high,36
Wogonin,0.7252836515355169,0.8315063118934631,0.2520242929458618,76,8,Likely,0.8079541843580028,high,37
Aloe emodin,0.6972659994963217,0.837218165397644,0.25210827589035034,73,8,Likely,0.7993029742867939,high,38
ML162,0.853382634835884,0.9536101222038269,0.37364113330841064,110,8,Moderate,0.7954521166295863,high,39
