edge_type,p_rel_weight,grad_importance,grad_raw,target_gene
L0_pathway->gene,0.9710216522216797,0.0,0.0,ACSL4
L1_pathway->gene,0.9432778358459473,0.0,0.0,ACSL4
L0_gene->pathway,0.9359931945800781,0.0,0.0,ACSL4
L0_compound->gene,0.9358524680137634,0.0,0.0,ACSL4
L1_compound->gene,0.9351376295089722,0.0,0.0,ACSL4
L0_disease->gene,0.9313257932662964,0.0,0.0,ACSL4
L1_gene->gene,0.9180680513381958,0.0,0.0,ACSL4
L1_disease->gene,0.9151973724365234,0.0,0.0,ACSL4
L1_gene->pathway,0.9093611836433411,0.0,0.0,ACSL4
L0_gene->gene,0.9051477909088135,0.0,0.0,ACSL4
L0_gene->disease,0.9021954536437988,0.0,0.0,ACSL4
L1_compound->pocket,0.902180016040802,0.0,0.0,ACSL4
L1_gene->disease,0.902180016040802,0.0,0.0,ACSL4
L0_compound->pocket,0.902180016040802,0.0,0.0,ACSL4
compound-binds_to-pocket,0.0,1.0,0.17465169727802277,ACSL4
compound-targets-gene,0.0,0.5637104836179685,0.09845299273729324,ACSL4
disease-rev_associated_with-gene,0.0,0.0025300081388749986,0.00044187021558173,ACSL4
gene-associated_with-disease,0.0,0.0025300246361622284,0.0004418730968609452,ACSL4
gene-coexp-gene,0.0,0.0,0.0,ACSL4
gene-enriched_in-pathway,0.0,0.026256813066344205,0.004585796967148781,ACSL4
gene-regulates-gene,0.0,0.0,0.0,ACSL4
pathway-rev_enriched_in-gene,0.0,0.02331982668321975,0.004072847310453653,ACSL4
