,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Ferroptosis,-0.09115609,-0.33917183,0.19021943,0.22055152,-0.06816563,0.27595082,0.3074208,-0.18406019,-0.0649894,-0.37285522,-0.097155765,0.008708537,-0.28956324,0.27641967,-0.29227754,0.10144699
Glutathione_metabolism,-0.0908626,-0.34397265,0.18886597,0.22082464,-0.07006872,0.2777948,0.30993623,-0.18531479,-0.06485737,-0.3719678,-0.10074522,0.009168353,-0.28991944,0.27575287,-0.29093114,0.10313478
Iron_homeostasis,-0.089381054,-0.34344363,0.18840927,0.22174725,-0.07126567,0.27631104,0.30957985,-0.18309987,-0.064363,-0.36967283,-0.100516655,0.0076023117,-0.2883244,0.27599946,-0.28826246,0.102102265
Lipid_peroxidation,-0.08932616,-0.342488,0.1879434,0.22068459,-0.07063901,0.27654612,0.30918986,-0.18326089,-0.065840945,-0.3702236,-0.10023311,0.0063391216,-0.28768998,0.2763367,-0.2884119,0.10230927
Nrf2_pathway,-0.09126867,-0.3435469,0.18910745,0.21946794,-0.06925278,0.27838764,0.3096156,-0.18609473,-0.066447735,-0.372958,-0.100608416,0.008680038,-0.28929812,0.2757118,-0.29154667,0.103166446
Autophagy,-0.09196198,-0.33941805,0.19079655,0.21824162,-0.06793981,0.27716553,0.30843973,-0.18746914,-0.06850307,-0.3752852,-0.09712506,0.008460239,-0.28902242,0.27613738,-0.29373217,0.10217478
Mitochondrial_dysfunction,-0.087537006,-0.33800358,0.18667689,0.21690057,-0.07034792,0.27564862,0.30938208,-0.18520528,-0.07280589,-0.37202436,-0.097953774,6.8962574e-05,-0.28445023,0.27788952,-0.28760034,0.102445684
ROS_signaling,-0.087537006,-0.33800358,0.18667689,0.21690057,-0.07034792,0.27564862,0.30938208,-0.18520528,-0.07280589,-0.37202436,-0.097953774,6.8962574e-05,-0.28445023,0.27788952,-0.28760034,0.102445684
Cellular_senescence,-0.091258645,-0.34286466,0.18742317,0.21921876,-0.06913051,0.2787131,0.30956674,-0.18539387,-0.06708886,-0.37259743,-0.10057733,0.0074568614,-0.28937736,0.2764468,-0.2914163,0.10414614
p53_pathway,-0.09063253,-0.34321114,0.18839034,0.22036539,-0.069283456,0.27763027,0.30955002,-0.18457237,-0.065458775,-0.3720969,-0.10094989,0.008517556,-0.28948772,0.27615348,-0.29048795,0.10322584
