,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
ABCC1,0.3289479,-0.20716785,-0.21174091,0.065673545,-0.24244985,0.08072822,-0.11673955,0.11211976,-0.021441355,-0.23497182,-0.43394297,0.077339455,0.34076256,-0.2548207,0.013699796,0.033307835
ABCC2,0.3142814,-0.19744918,-0.21776262,0.09397623,-0.24568793,0.07387756,-0.10415677,0.11582912,-0.016044967,-0.24275431,-0.41861832,0.07150233,0.3557136,-0.2687536,0.0043304935,0.03112627
ACSL4,0.31760752,-0.20208284,-0.21825176,0.08560257,-0.24743924,0.07613039,-0.10874758,0.11215671,-0.02136743,-0.24115326,-0.42023104,0.07413113,0.35783017,-0.2635799,0.008650504,0.032230906
ACVR1B,0.33806103,-0.21283191,-0.20790553,0.05498016,-0.240625,0.08370943,-0.1197599,0.110512994,-0.01745183,-0.2328722,-0.43630168,0.07791671,0.33565074,-0.25004405,0.019981865,0.03214656
ADIPOQ,0.3148838,-0.19755198,-0.21788637,0.09263593,-0.24566102,0.07418856,-0.10605018,0.11492809,-0.017859094,-0.24152784,-0.42025256,0.07128851,0.35406137,-0.2673645,0.004706476,0.031436235
AKT1,0.3128501,-0.19892159,-0.21706113,0.095372826,-0.24542788,0.074925825,-0.10362671,0.11381044,-0.01586312,-0.24189715,-0.41891843,0.070744455,0.35580963,-0.2698748,0.0032562576,0.030686313
ALOX12,0.3174228,-0.20000501,-0.2164409,0.0893043,-0.24595946,0.07569039,-0.10725394,0.11224898,-0.017217703,-0.24013525,-0.41932046,0.0711741,0.35351777,-0.2644697,0.0087117925,0.031279974
ALOX15,0.33627352,-0.21151464,-0.20913342,0.051122576,-0.24049973,0.08460362,-0.121998414,0.113166325,-0.023452252,-0.23348066,-0.44116205,0.08110891,0.3331625,-0.24979088,0.017194387,0.032803364
ALOX5,0.31450602,-0.19928734,-0.21750191,0.094505996,-0.24650332,0.07536018,-0.10546628,0.111908235,-0.016893402,-0.24123785,-0.41705954,0.06960747,0.35585478,-0.26747853,0.006455358,0.030064287
ATF2,0.3132361,-0.19712654,-0.21577361,0.09798145,-0.24417135,0.074513674,-0.10247998,0.11382241,-0.012137562,-0.24107212,-0.41738307,0.068623036,0.35311955,-0.27010435,0.004163705,0.030446062
ATF3,0.32333332,-0.20478067,-0.21852738,0.07737544,-0.24748844,0.076793015,-0.11354192,0.11270959,-0.024266616,-0.24041082,-0.42500585,0.07547155,0.35491097,-0.26004356,0.010432877,0.031774513
ATF4,0.31416366,-0.19754289,-0.21684708,0.09556486,-0.24521503,0.07357016,-0.1035408,0.115107276,-0.0144095495,-0.24190861,-0.4188976,0.070188075,0.354486,-0.2692253,0.0039144307,0.030916402
ATG3,0.3195374,-0.19923782,-0.21732044,0.08703123,-0.24458677,0.07585162,-0.109740175,0.11317923,-0.01820463,-0.23934287,-0.42164344,0.071425825,0.35141337,-0.26364106,0.008399386,0.03205292
ATG5,0.31524593,-0.19800965,-0.21717563,0.094231635,-0.24451587,0.075203225,-0.105327025,0.113718666,-0.0151238665,-0.24100378,-0.41857916,0.06982654,0.35367784,-0.26833662,0.005181402,0.030788375
ATG7,0.3145587,-0.1978073,-0.21904796,0.09529427,-0.24626178,0.07352103,-0.10587786,0.11334313,-0.01757197,-0.24137732,-0.41813356,0.07011227,0.35731375,-0.2678726,0.0048057847,0.031759895
ATM,0.31933105,-0.20321855,-0.21499811,0.08957407,-0.24261281,0.076661095,-0.10554995,0.11245697,-0.01163391,-0.23979858,-0.42152622,0.070653215,0.3534811,-0.26847064,0.0052738227,0.030903196
ATR,0.3146105,-0.19840373,-0.21653166,0.09695651,-0.24531263,0.07362805,-0.10278082,0.11414725,-0.012581907,-0.24196807,-0.41728628,0.06900847,0.3554216,-0.2698022,0.004465822,0.030128768
AURKA,0.3256867,-0.21325774,-0.20998818,0.07914016,-0.24462056,0.08140181,-0.10752338,0.10527333,-0.010240436,-0.23738688,-0.42048723,0.07121818,0.35284203,-0.26203895,0.014666628,0.028382206
AURKB,0.32435116,-0.21390305,-0.20949465,0.07746917,-0.2445823,0.082182854,-0.10664709,0.10637099,-0.011168763,-0.23826325,-0.42175668,0.07329638,0.35304964,-0.262784,0.013463911,0.028495526
BAP1,0.31645423,-0.19770314,-0.21563426,0.094285086,-0.24345353,0.07513997,-0.1042007,0.11487498,-0.011857465,-0.24113208,-0.4185766,0.06907402,0.35106754,-0.2688125,0.0055176504,0.02992439
BCL6,0.33531892,-0.21228006,-0.20615226,0.057117686,-0.23997754,0.08437121,-0.11659623,0.1108373,-0.015016824,-0.23333862,-0.43494314,0.07824339,0.33525544,-0.25181532,0.019254312,0.03202664
BECN1,0.31495085,-0.19863132,-0.21634047,0.09171361,-0.24455139,0.075644135,-0.10459697,0.11528448,-0.015520863,-0.24192977,-0.42001975,0.07187013,0.3531326,-0.26842552,0.0047119297,0.030745456
